id,group,segment,events
51730,test,high,63.0
11683,test,high,59.0
35277,test,high,72.0
41745,test,high,86.0
68554,test,high,72.0
64132,test,high,83.0
33624,test,high,67.0
90625,test,high,83.0
61912,test,high,77.0
26019,test,high,73.0
31970,test,high,63.0
82381,test,high,69.0
25194,test,high,69.0
5524,test,high,61.0
69851,test,high,66.0
93106,test,high,65.0
45537,test,high,80.0
9024,test,high,78.0
6049,test,high,54.0
97630,test,high,83.0
87259,test,high,65.0
13606,test,high,72.0
75041,test,high,61.0
21358,test,high,66.0
7305,test,high,86.0
42140,test,high,73.0
84645,test,high,67.0
45836,test,high,73.0
2229,test,high,78.0
86686,test,high,72.0
92144,test,high,73.0
17992,test,high,82.0
52339,test,high,69.0
69534,test,high,73.0
27441,test,high,72.0
7621,test,high,61.0
2767,test,high,60.0
41396,test,high,68.0
43271,test,high,76.0
19102,test,high,77.0
21280,test,high,63.0
77386,test,high,77.0
89308,test,high,84.0
61847,test,high,71.0
81195,test,high,65.0
64150,test,high,93.0
66644,test,high,61.0
32159,test,high,81.0
41357,test,high,69.0
51541,test,high,80.0
97288,test,high,84.0
44786,test,high,78.0
60033,test,high,69.0
42776,test,high,67.0
52904,test,high,60.0
31222,test,high,49.0
11719,test,high,73.0
64585,test,high,70.0
86978,test,high,71.0
35494,test,high,66.0
85734,test,high,60.0
72636,test,high,65.0
50692,test,high,66.0
14874,test,high,65.0
49890,test,high,72.0
38904,test,high,66.0
20455,test,high,53.0
44889,test,high,73.0
55332,test,high,71.0
89965,test,high,71.0
72857,test,high,53.0
92684,test,high,79.0
758,test,high,62.0
64948,test,high,70.0
10827,test,high,72.0
16484,test,high,54.0
27186,test,high,57.0
44988,test,high,56.0
55963,test,high,56.0
4618,test,high,73.0
58102,test,high,71.0
68176,test,high,68.0
16168,test,high,85.0
84556,test,high,68.0
88171,test,high,74.0
69175,test,high,53.0
93259,test,high,83.0
33084,test,high,61.0
82627,test,high,59.0
37073,test,high,81.0
19965,test,high,71.0
84047,test,high,62.0
70477,test,high,71.0
78140,test,high,62.0
91108,test,high,72.0
33760,test,high,79.0
28261,test,high,74.0
5263,test,high,71.0
38297,test,high,74.0
73263,test,high,61.0
34416,test,high,84.0
2248,test,high,61.0
17580,test,high,67.0
7574,test,high,79.0
47664,test,high,72.0
36589,test,high,64.0
33739,test,high,77.0
39287,test,high,71.0
28209,test,high,56.0
89813,test,high,80.0
79485,test,high,66.0
2380,test,high,68.0
23527,test,high,59.0
80786,test,high,59.0
98756,test,high,65.0
32787,test,high,63.0
46003,test,high,57.0
31347,test,high,62.0
85486,test,high,71.0
44975,test,high,78.0
13145,test,high,84.0
86691,test,high,81.0
31852,test,high,80.0
63076,test,high,61.0
81060,test,high,66.0
86457,test,high,67.0
49323,test,high,57.0
87223,test,high,55.0
61890,test,high,59.0
91543,test,high,79.0
15898,test,high,72.0
58643,test,high,72.0
79171,test,high,87.0
55858,test,high,68.0
9547,test,high,70.0
55516,test,high,72.0
14237,test,high,63.0
7712,test,high,57.0
74062,test,high,69.0
84448,test,high,71.0
86361,test,high,63.0
4795,test,high,77.0
43815,test,high,67.0
56942,test,high,73.0
7778,test,high,65.0
26783,test,high,64.0
94133,test,high,56.0
90883,test,high,73.0
91203,test,high,75.0
13531,test,high,65.0
25927,test,high,84.0
29721,test,high,81.0
26871,test,high,75.0
60811,test,high,68.0
84470,test,high,71.0
13775,test,high,71.0
45787,test,high,76.0
38221,test,high,70.0
82726,test,high,73.0
97587,test,high,78.0
60472,test,high,70.0
11518,test,high,55.0
25069,test,high,87.0
19510,test,high,59.0
77297,test,high,62.0
27241,test,high,69.0
35582,test,high,50.0
8019,test,high,78.0
82854,test,high,64.0
50764,test,high,62.0
91451,test,high,71.0
89245,test,high,74.0
21877,test,high,59.0
65535,test,high,59.0
16073,test,high,76.0
70968,test,high,55.0
90137,test,high,72.0
13780,test,high,76.0
4870,test,high,63.0
97333,test,high,69.0
778,test,high,73.0
957,test,high,64.0
62846,test,high,78.0
15709,test,high,47.0
86973,test,high,90.0
11482,test,high,76.0
7520,test,high,84.0
24056,test,high,75.0
62123,test,high,82.0
86326,test,high,77.0
5911,test,high,81.0
79923,test,high,70.0
36580,test,high,67.0
64323,test,high,60.0
86158,test,high,58.0
99565,test,high,60.0
16247,test,high,78.0
15249,test,high,70.0
53186,test,high,76.0
40709,test,high,71.0
33516,test,high,61.0
33335,test,high,77.0
90741,test,high,69.0
58068,test,high,74.0
12490,test,high,69.0
68608,test,high,64.0
8714,test,high,61.0
20252,test,high,61.0
1611,test,high,70.0
91767,test,high,73.0
22325,test,high,65.0
94538,test,high,50.0
65459,test,high,77.0
35184,test,high,64.0
55736,test,high,67.0
34098,test,high,83.0
53756,test,high,58.0
13465,test,high,67.0
76695,test,high,78.0
45866,test,high,81.0
68558,test,high,78.0
62342,test,high,80.0
94807,test,high,80.0
72523,test,high,65.0
87002,test,high,79.0
42993,test,high,66.0
97978,test,high,84.0
85916,test,high,73.0
44557,test,high,60.0
33849,test,high,69.0
23718,test,high,61.0
92300,test,high,67.0
1541,test,high,68.0
98009,test,high,73.0
10375,test,high,66.0
48049,test,high,65.0
51077,test,high,64.0
17710,test,high,77.0
59560,test,high,63.0
60646,test,high,71.0
41785,test,high,64.0
49457,test,high,67.0
70485,test,high,63.0
44584,test,high,63.0
80316,test,high,71.0
41105,test,high,66.0
16473,test,high,74.0
24851,test,high,73.0
82989,test,high,64.0
56586,test,high,79.0
29876,test,high,88.0
7986,test,high,81.0
55241,test,high,67.0
25806,test,high,86.0
75858,test,high,64.0
16674,test,high,65.0
31708,test,high,70.0
10258,test,high,75.0
14754,test,high,66.0
57858,test,high,65.0
19329,test,high,67.0
98143,test,high,69.0
10366,test,high,72.0
48560,test,high,74.0
26314,test,high,71.0
12430,test,high,62.0
12303,test,high,88.0
31147,test,high,77.0
8569,test,high,76.0
6352,test,high,64.0
68332,test,high,61.0
99360,test,high,76.0
82002,test,high,68.0
93817,test,high,77.0
27,test,high,65.0
15334,test,high,65.0
68504,test,high,69.0
12590,test,high,78.0
12169,test,high,69.0
49339,test,high,58.0
50926,test,high,78.0
79282,test,high,76.0
93110,test,high,76.0
75097,test,high,63.0
94532,test,high,62.0
56323,test,high,86.0
38979,test,high,65.0
18007,test,high,76.0
37203,test,high,79.0
41720,test,high,62.0
32619,test,high,69.0
2115,test,high,68.0
13563,test,high,83.0
53619,test,high,61.0
46489,test,high,80.0
63101,test,high,76.0
62248,test,high,61.0
34666,test,high,69.0
57065,test,high,61.0
67646,test,high,77.0
50500,test,high,79.0
279,test,high,70.0
48706,test,high,72.0
10386,test,high,70.0
81369,test,high,84.0
42137,test,high,70.0
2982,test,high,72.0
66168,test,high,71.0
88355,test,high,87.0
5861,test,high,59.0
6472,test,high,74.0
97738,test,high,78.0
91962,test,high,65.0
23800,test,high,85.0
88315,test,high,77.0
50743,test,high,79.0
73879,test,high,68.0
25391,test,high,93.0
79283,test,high,75.0
61205,test,high,64.0
92989,test,high,67.0
81827,test,high,77.0
13231,test,high,67.0
51315,test,high,53.0
13679,test,high,66.0
49871,test,high,72.0
75057,test,high,59.0
79781,test,high,73.0
95615,test,high,69.0
12674,test,high,75.0
49096,test,high,86.0
12706,test,high,65.0
69693,test,high,73.0
1987,test,high,68.0
79105,test,high,62.0
56009,test,high,75.0
30831,test,high,58.0
81085,test,high,67.0
16726,test,high,89.0
8216,test,high,77.0
77414,test,high,62.0
31712,test,high,61.0
46668,test,high,64.0
24742,test,high,57.0
68499,test,high,63.0
29805,test,high,67.0
37106,test,high,64.0
2811,test,high,66.0
72075,test,high,62.0
4354,test,high,94.0
33141,test,high,63.0
80404,test,high,56.0
91100,test,high,79.0
71757,test,high,59.0
2587,test,high,62.0
19330,test,high,59.0
63386,test,high,79.0
26202,test,high,83.0
24201,test,high,72.0
78426,test,high,76.0
11696,test,high,71.0
43777,test,high,64.0
74524,test,high,75.0
29634,test,high,69.0
83934,test,high,67.0
98275,test,high,63.0
41177,test,high,78.0
44150,test,high,73.0
62650,test,high,54.0
52626,test,high,67.0
88181,test,high,78.0
7076,test,high,68.0
13188,test,high,73.0
59969,test,high,64.0
73197,test,high,72.0
70355,test,high,64.0
91791,test,high,76.0
43068,test,high,74.0
62316,test,high,71.0
41823,test,high,71.0
86550,test,high,57.0
14075,test,high,73.0
48381,test,high,67.0
51744,test,high,59.0
58048,test,high,61.0
69527,test,high,69.0
63476,test,high,56.0
34615,test,high,73.0
79288,test,high,66.0
63550,test,high,67.0
25050,test,high,71.0
20932,test,high,78.0
92423,test,high,78.0
52084,test,high,65.0
33636,test,high,82.0
39465,test,high,63.0
16207,test,high,67.0
24910,test,high,72.0
96380,test,high,73.0
23540,test,high,72.0
21324,test,high,71.0
80485,test,high,64.0
85287,test,high,70.0
20099,test,high,84.0
76912,test,high,52.0
46512,test,high,81.0
46357,test,high,77.0
57736,test,high,71.0
50159,test,high,82.0
73454,test,high,65.0
90096,test,high,53.0
81950,test,high,64.0
58417,test,high,61.0
76834,test,high,73.0
12237,test,high,74.0
70135,test,high,79.0
237,test,high,64.0
37631,test,high,69.0
79441,test,high,82.0
65998,test,high,64.0
63949,test,high,55.0
99280,test,high,62.0
19828,test,high,65.0
16928,test,high,74.0
71357,test,high,51.0
27913,test,high,72.0
37141,test,high,63.0
15314,test,high,61.0
88182,test,high,65.0
8130,test,high,72.0
44058,test,high,73.0
95564,test,high,71.0
96084,test,high,51.0
79190,test,high,69.0
28360,test,high,80.0
47757,test,high,77.0
17361,test,high,81.0
92284,test,high,52.0
4046,test,high,59.0
12725,test,high,60.0
98252,test,high,71.0
79649,test,high,84.0
84191,test,high,73.0
13117,test,high,73.0
73774,test,high,78.0
79984,test,high,83.0
24347,test,high,69.0
72047,test,high,75.0
2007,test,high,70.0
91314,test,high,60.0
58925,test,high,70.0
3020,test,high,69.0
20779,test,high,73.0
10288,test,high,63.0
27206,test,high,80.0
33409,test,high,71.0
40098,test,high,78.0
54885,test,high,72.0
37085,test,high,74.0
35214,test,high,68.0
18539,test,high,72.0
40338,test,high,66.0
82051,test,high,73.0
54629,test,high,70.0
31047,test,high,72.0
45170,test,high,77.0
38641,test,high,71.0
4660,test,high,75.0
86091,test,high,86.0
13648,test,high,63.0
25464,test,high,67.0
48722,test,high,77.0
57857,test,high,74.0
71397,test,high,76.0
50218,test,high,67.0
13787,test,high,59.0
74345,test,high,78.0
48201,test,high,65.0
70173,test,high,79.0
25831,test,high,74.0
55499,test,high,73.0
89579,test,high,79.0
7267,test,high,75.0
68016,test,high,81.0
88370,test,high,64.0
13564,test,high,65.0
47560,test,high,81.0
87363,test,high,77.0
28341,test,high,69.0
59260,test,high,74.0
39510,test,high,66.0
62630,test,high,81.0
75902,test,high,73.0
27934,test,high,56.0
76450,test,high,79.0
41325,test,high,73.0
30503,test,high,65.0
41742,test,high,67.0
82420,test,high,58.0
42488,test,high,58.0
48714,test,high,83.0
78024,test,high,79.0
79289,test,high,67.0
31848,test,high,72.0
90908,test,high,71.0
9395,test,high,71.0
61182,test,high,71.0
15086,test,high,63.0
8033,test,high,77.0
10508,test,high,70.0
75106,test,high,63.0
54375,test,high,77.0
90174,test,high,67.0
14656,test,high,68.0
86218,test,high,57.0
71906,test,high,69.0
75040,test,high,56.0
52706,test,high,61.0
714,test,high,79.0
86159,test,high,78.0
80984,test,high,65.0
55805,test,high,75.0
90940,test,high,76.0
91918,test,high,66.0
47861,test,high,61.0
52249,test,high,69.0
65062,test,high,67.0
92878,test,high,74.0
8801,test,high,71.0
88035,test,high,66.0
97577,test,high,63.0
34193,test,high,71.0
1245,test,high,79.0
43594,test,high,58.0
2207,test,high,67.0
2249,test,high,71.0
3869,test,high,74.0
32127,test,high,77.0
90503,test,high,79.0
42519,test,high,66.0
8954,test,high,80.0
10788,test,high,73.0
77119,test,high,62.0
28501,test,high,80.0
74741,test,high,71.0
98212,test,high,58.0
4039,test,high,70.0
42023,test,high,63.0
12385,test,high,51.0
53320,test,high,71.0
30533,test,high,78.0
57906,test,high,65.0
85146,test,high,76.0
24426,test,high,61.0
79816,test,high,81.0
34195,test,high,61.0
22576,test,high,84.0
53658,test,high,66.0
20560,test,high,81.0
78238,test,high,71.0
51268,test,high,78.0
2106,test,high,53.0
46566,test,high,66.0
15278,test,high,70.0
47224,test,high,75.0
26032,test,high,72.0
68568,test,high,59.0
6810,test,high,75.0
86863,test,high,72.0
72318,test,high,70.0
6784,test,high,75.0
2038,test,high,81.0
52777,test,high,73.0
48727,test,high,76.0
80571,test,high,84.0
22549,test,high,66.0
912,test,high,77.0
86146,test,high,79.0
43394,test,high,82.0
26582,test,high,70.0
32134,test,high,52.0
94171,test,high,55.0
47633,test,high,68.0
57855,test,high,65.0
5228,test,high,71.0
39394,test,high,75.0
56098,test,high,71.0
69125,test,high,62.0
83972,test,high,74.0
96687,test,high,63.0
81345,test,high,73.0
7060,test,high,61.0
32117,test,high,81.0
32734,test,high,75.0
61609,test,high,76.0
20930,test,high,83.0
66317,test,high,70.0
21942,test,high,77.0
74739,test,high,69.0
60407,test,high,64.0
98475,test,high,65.0
86792,test,high,65.0
70991,test,high,72.0
54406,test,high,75.0
11428,test,high,70.0
55922,test,high,76.0
99215,test,high,66.0
3958,test,high,59.0
7425,test,high,61.0
39811,test,high,67.0
64086,test,high,68.0
46002,test,high,59.0
36974,test,high,79.0
53240,test,high,79.0
96373,test,high,64.0
6768,test,high,81.0
94827,test,high,73.0
57737,test,high,70.0
31889,test,high,73.0
72138,test,high,59.0
20265,test,high,73.0
96871,test,high,68.0
48929,test,high,77.0
28526,test,high,49.0
53360,test,high,76.0
97695,test,high,78.0
47491,test,high,77.0
1765,test,high,81.0
45441,test,high,78.0
20152,test,high,97.0
84229,test,high,60.0
48754,test,high,68.0
41775,test,high,64.0
23007,test,high,72.0
46731,test,high,70.0
67049,test,high,68.0
12738,test,high,61.0
88085,test,high,76.0
56218,test,high,77.0
5197,test,high,67.0
90052,test,high,81.0
95305,test,high,72.0
50235,test,high,56.0
57418,test,high,71.0
6924,test,high,72.0
18432,test,high,78.0
77722,test,high,53.0
59365,test,high,71.0
11558,test,high,72.0
79089,test,high,64.0
51771,test,high,73.0
12895,test,high,70.0
74092,test,high,61.0
64644,test,high,65.0
16709,test,high,66.0
34815,test,high,68.0
46976,test,high,62.0
92248,test,high,69.0
31466,test,high,81.0
88954,test,high,66.0
98373,test,high,76.0
87852,test,high,61.0
49679,test,high,72.0
11405,test,high,86.0
10607,test,high,87.0
87144,test,high,71.0
88914,test,high,69.0
34122,test,high,61.0
65772,test,high,73.0
1384,test,high,69.0
55201,test,high,62.0
48161,test,high,62.0
72510,test,high,66.0
59791,test,high,64.0
83131,test,high,68.0
47887,test,high,67.0
80787,test,high,75.0
1633,test,high,69.0
6916,test,high,72.0
8815,test,high,68.0
71051,test,high,62.0
78260,test,high,63.0
26062,test,high,70.0
58626,test,high,65.0
19531,test,high,75.0
186,test,high,75.0
93490,test,high,74.0
82689,test,high,80.0
8425,test,high,84.0
49094,test,high,78.0
95926,test,high,64.0
15944,test,high,76.0
51065,test,high,51.0
49439,test,high,78.0
45325,test,high,75.0
6188,test,high,75.0
11507,test,high,74.0
13968,test,high,79.0
40596,test,high,86.0
19459,test,high,69.0
65971,test,high,70.0
33893,test,high,65.0
3814,test,high,69.0
83581,test,high,80.0
88223,test,high,68.0
32132,test,high,67.0
20241,test,high,73.0
80533,test,high,84.0
44257,test,high,66.0
56109,test,high,59.0
13583,test,high,67.0
82315,test,high,69.0
26462,test,high,68.0
3131,test,high,65.0
29716,test,high,84.0
28407,test,high,70.0
23697,test,high,74.0
26681,test,high,59.0
63436,test,high,62.0
60683,test,high,75.0
74993,test,high,75.0
86608,test,high,63.0
79730,test,high,65.0
60125,test,high,62.0
77900,test,high,73.0
63417,test,high,74.0
27977,test,high,53.0
54349,test,high,63.0
20037,test,high,76.0
13762,test,high,78.0
54315,test,high,74.0
39787,test,high,71.0
63656,test,high,65.0
32371,test,high,64.0
32659,test,high,83.0
92517,test,high,70.0
15139,test,high,69.0
49425,test,high,62.0
91005,test,high,65.0
56067,test,high,77.0
54132,test,high,73.0
75555,test,high,70.0
7893,test,high,73.0
44727,test,high,71.0
91378,test,high,72.0
73716,test,high,57.0
17853,test,high,73.0
48407,test,high,76.0
90633,test,high,64.0
95997,test,high,63.0
29032,test,high,62.0
86096,test,high,71.0
16651,test,high,78.0
95190,test,high,71.0
28288,test,high,72.0
42976,test,high,69.0
20871,test,high,61.0
83944,test,high,88.0
72223,test,high,70.0
85152,test,high,87.0
12207,test,high,71.0
99742,test,high,75.0
11535,test,high,76.0
99587,test,high,54.0
36905,test,high,91.0
95940,test,high,75.0
27512,test,high,73.0
64510,test,high,60.0
36455,test,high,76.0
75715,test,high,53.0
71213,test,high,78.0
51419,test,high,72.0
98198,test,high,66.0
78919,test,high,69.0
79137,test,high,63.0
46672,test,high,78.0
2827,test,high,78.0
93979,test,high,70.0
34910,test,high,68.0
23075,test,high,73.0
42830,test,high,60.0
75343,test,high,75.0
55996,test,high,82.0
50306,test,high,94.0
60569,test,high,62.0
2035,test,high,72.0
33695,test,high,81.0
53675,test,high,85.0
46055,test,high,78.0
1218,test,high,75.0
64796,test,high,66.0
52633,test,high,72.0
28835,test,high,79.0
33691,test,high,69.0
52279,test,high,66.0
74208,test,high,77.0
69697,test,high,62.0
11423,test,high,67.0
30135,test,high,75.0
82738,test,high,65.0
83721,test,high,71.0
33102,test,high,66.0
45054,test,high,65.0
6278,test,high,68.0
69731,test,high,71.0
86011,test,high,57.0
85955,test,high,58.0
36781,test,high,87.0
42520,test,high,84.0
6153,test,high,69.0
158,test,high,74.0
55323,test,high,77.0
35968,test,high,77.0
73972,test,high,71.0
30350,test,high,80.0
46409,test,high,62.0
8786,test,high,70.0
50369,test,high,74.0
91809,test,high,70.0
37270,test,high,58.0
95512,test,high,77.0
46855,test,high,69.0
77027,test,high,78.0
53341,test,high,60.0
44170,test,high,80.0
58317,test,high,57.0
65721,test,high,86.0
39863,test,high,62.0
2463,test,high,60.0
85162,test,high,64.0
24115,test,high,75.0
84317,test,high,77.0
56448,test,high,75.0
10669,test,high,72.0
92700,test,high,73.0
46825,test,high,69.0
84676,test,high,72.0
84596,test,high,69.0
10424,test,high,69.0
11030,test,high,60.0
48418,test,high,79.0
23887,test,high,56.0
31895,test,high,76.0
72072,test,high,81.0
48993,test,high,71.0
59427,test,high,71.0
48989,test,high,59.0
42913,test,high,69.0
34352,test,high,68.0
14206,test,high,69.0
9759,test,high,72.0
95834,test,high,62.0
23344,test,high,76.0
4006,test,high,77.0
40923,test,high,66.0
93697,test,high,57.0
59998,test,high,64.0
65657,test,high,57.0
36232,test,high,67.0
21052,test,high,73.0
86657,test,high,70.0
34048,test,high,59.0
34785,test,high,73.0
66200,test,high,77.0
94911,test,high,60.0
10091,test,high,67.0
71676,test,high,77.0
56594,test,high,65.0
12549,test,high,76.0
75912,test,high,71.0
88480,test,high,73.0
97212,test,high,63.0
80090,test,high,87.0
63867,test,high,70.0
50018,test,high,75.0
95362,test,high,56.0
50699,test,high,77.0
42414,test,high,66.0
48307,test,high,61.0
12541,test,high,86.0
86788,test,high,53.0
78962,test,high,66.0
36846,test,high,79.0
1604,test,high,69.0
41211,test,high,84.0
23318,test,high,77.0
96739,test,high,76.0
26830,test,high,59.0
14041,test,high,71.0
19537,test,high,87.0
15110,test,high,76.0
8884,test,high,74.0
76015,test,high,73.0
8907,test,high,69.0
78264,test,high,64.0
78441,test,high,64.0
37600,test,high,75.0
48781,test,high,58.0
11624,test,high,70.0
21092,test,high,73.0
21587,test,high,73.0
13841,test,high,79.0
18483,test,high,74.0
26580,test,high,56.0
43425,test,high,73.0
81066,test,high,67.0
4767,test,high,67.0
55974,test,high,71.0
38017,test,high,69.0
89764,test,high,68.0
60199,test,high,64.0
39114,test,high,70.0
79358,test,high,66.0
74863,test,high,63.0
65082,test,high,67.0
75945,test,high,68.0
56080,test,high,77.0
41135,test,high,65.0
2583,test,high,73.0
21993,test,high,69.0
61930,test,high,69.0
53712,test,high,74.0
52467,test,high,79.0
36410,test,high,61.0
51800,test,high,69.0
39499,test,high,74.0
56888,test,high,62.0
26788,test,high,61.0
6127,test,high,89.0
54410,test,high,76.0
42044,test,high,67.0
10324,test,high,75.0
88457,test,high,71.0
50785,test,high,75.0
19402,test,high,72.0
71349,test,high,66.0
48774,test,high,70.0
54746,test,high,59.0
2988,test,high,73.0
66305,test,high,59.0
98855,test,high,72.0
55745,test,high,67.0
99558,test,high,74.0
93494,test,high,61.0
78565,test,high,79.0
24750,test,high,85.0
8812,test,high,64.0
19722,test,high,76.0
28975,test,high,74.0
6727,test,high,62.0
28231,test,high,68.0
67079,test,high,73.0
64769,test,high,65.0
10207,test,high,70.0
73611,test,high,77.0
82485,test,high,70.0
14100,test,high,60.0
38182,test,high,86.0
26955,test,high,73.0
73230,test,high,65.0
34722,test,high,68.0
2412,test,high,74.0
79789,test,high,56.0
38516,test,high,68.0
75900,test,high,66.0
89313,test,high,69.0
79307,test,high,68.0
24208,test,high,77.0
12451,test,high,84.0
3620,test,high,57.0
33202,test,high,73.0
43734,test,high,65.0
84980,test,high,79.0
37121,test,high,71.0
50691,test,high,63.0
45370,test,high,91.0
98041,test,high,70.0
56859,test,high,66.0
94906,test,high,73.0
74832,test,high,73.0
53484,test,high,64.0
8856,test,high,72.0
34242,test,high,74.0
44803,test,high,62.0
52648,test,high,63.0
33048,test,high,69.0
82018,test,high,78.0
