order_id,delivery_time,district,experiment_group
4696,53.0,Purlieus,control
8984,44.0,Purlieus,control
4575,32.0,Purlieus,control
4725,52.0,Purlieus,control
2015,50.0,Purlieus,control
2552,40.0,Purlieus,control
8875,54.0,Purlieus,control
3015,52.0,Purlieus,control
5530,40.0,Purlieus,control
8372,51.0,Purlieus,control
6301,44.0,Purlieus,control
5191,54.0,Purlieus,control
7864,55.0,Purlieus,control
4137,40.0,Purlieus,control
3311,27.0,Central,control
8271,47.0,Purlieus,control
4288,39.0,Purlieus,control
1105,51.0,Purlieus,control
9925,25.0,Central,control
8417,52.0,Purlieus,control
6608,38.0,Purlieus,control
1591,31.0,Purlieus,control
5591,26.0,Central,control
2686,49.0,Purlieus,control
7845,45.0,Purlieus,control
3114,61.0,Suburb,control
1629,37.0,Purlieus,control
10912,49.0,Purlieus,control
4763,41.0,Purlieus,control
10173,50.0,Purlieus,control
9944,36.0,Purlieus,control
9766,34.0,Purlieus,control
2468,44.0,Purlieus,control
5106,48.0,Purlieus,control
1811,45.0,Purlieus,control
8472,45.0,Purlieus,control
8537,36.0,Purlieus,control
6083,45.0,Purlieus,control
3123,51.0,Purlieus,control
3073,41.0,Purlieus,control
4866,76.0,Suburb,control
4057,53.0,Purlieus,control
6048,39.0,Purlieus,control
8172,49.0,Purlieus,control
4514,42.0,Purlieus,control
2349,36.0,Purlieus,control
2112,52.0,Purlieus,control
9239,49.0,Purlieus,control
2968,50.0,Purlieus,control
10337,23.0,Central,control
3548,54.0,Purlieus,control
2215,39.0,Purlieus,control
7139,55.0,Purlieus,control
10837,54.0,Purlieus,control
3595,64.0,Suburb,control
1770,41.0,Purlieus,control
6200,45.0,Purlieus,control
8317,61.0,Suburb,control
5536,32.0,Purlieus,control
8113,44.0,Purlieus,control
3762,36.0,Purlieus,control
9311,35.0,Purlieus,control
10853,54.0,Purlieus,control
11037,50.0,Purlieus,control
8064,50.0,Purlieus,control
8719,36.0,Purlieus,control
2465,34.0,Purlieus,control
9047,29.0,Central,control
9004,34.0,Purlieus,control
9182,58.0,Purlieus,control
10574,42.0,Purlieus,control
5478,33.0,Purlieus,control
3237,52.0,Purlieus,control
3638,43.0,Purlieus,control
6372,46.0,Purlieus,control
3780,53.0,Purlieus,control
1492,47.0,Purlieus,control
2283,59.0,Purlieus,control
3147,53.0,Purlieus,control
10091,30.0,Purlieus,control
5877,53.0,Purlieus,control
2397,60.0,Purlieus,control
1699,42.0,Purlieus,control
10740,36.0,Purlieus,control
7544,61.0,Suburb,control
3852,51.0,Purlieus,control
1850,38.0,Purlieus,control
1305,39.0,Purlieus,control
1809,67.0,Suburb,control
4633,41.0,Purlieus,control
1283,38.0,Purlieus,control
9657,54.0,Purlieus,control
8588,50.0,Purlieus,control
5541,41.0,Purlieus,control
10570,21.0,Central,control
5773,55.0,Purlieus,control
10915,51.0,Purlieus,control
6121,55.0,Purlieus,control
1714,45.0,Purlieus,control
7869,41.0,Purlieus,control
8626,38.0,Purlieus,control
8178,65.0,Suburb,control
10231,42.0,Purlieus,control
2998,37.0,Purlieus,control
10866,66.0,Suburb,control
3453,54.0,Purlieus,control
1475,31.0,Purlieus,control
8371,32.0,Purlieus,control
10590,24.0,Central,control
5473,51.0,Purlieus,control
8241,46.0,Purlieus,control
8765,35.0,Purlieus,control
10752,56.0,Purlieus,control
6013,48.0,Purlieus,control
3752,34.0,Purlieus,control
5121,40.0,Purlieus,control
9270,54.0,Purlieus,control
5270,32.0,Purlieus,control
9610,51.0,Purlieus,control
5451,47.0,Purlieus,control
1882,49.0,Purlieus,control
3270,31.0,Purlieus,control
1470,46.0,Purlieus,control
7946,44.0,Purlieus,control
8701,53.0,Purlieus,control
10002,46.0,Purlieus,control
7160,38.0,Purlieus,control
6742,57.0,Purlieus,control
5751,55.0,Purlieus,control
7457,47.0,Purlieus,control
3550,39.0,Purlieus,control
4704,43.0,Purlieus,control
1728,41.0,Purlieus,control
4653,54.0,Purlieus,control
5123,32.0,Purlieus,control
9990,52.0,Purlieus,control
1189,44.0,Purlieus,control
3320,39.0,Purlieus,control
4459,42.0,Purlieus,control
8496,55.0,Purlieus,control
5009,50.0,Purlieus,control
3967,36.0,Purlieus,control
2606,62.0,Suburb,control
10586,58.0,Purlieus,control
9552,59.0,Purlieus,control
5550,38.0,Purlieus,control
8713,46.0,Purlieus,control
8422,47.0,Purlieus,control
4170,52.0,Purlieus,control
3259,57.0,Purlieus,control
2388,44.0,Purlieus,control
8299,41.0,Purlieus,control
3289,52.0,Purlieus,control
4744,51.0,Purlieus,control
10093,40.0,Purlieus,control
5370,41.0,Purlieus,control
10030,45.0,Purlieus,control
1466,54.0,Purlieus,control
1947,37.0,Purlieus,control
5979,54.0,Purlieus,control
2960,65.0,Suburb,control
2295,58.0,Purlieus,control
2730,62.0,Suburb,control
5423,41.0,Purlieus,control
5410,60.0,Purlieus,control
9183,54.0,Purlieus,control
2271,52.0,Purlieus,control
9688,55.0,Purlieus,control
5789,22.0,Central,control
1605,48.0,Purlieus,control
1172,51.0,Purlieus,control
4657,56.0,Purlieus,control
1792,43.0,Purlieus,control
7771,37.0,Purlieus,control
9184,31.0,Purlieus,control
5295,61.0,Suburb,control
5002,43.0,Purlieus,control
6896,54.0,Purlieus,control
3507,47.0,Purlieus,control
8842,45.0,Purlieus,control
10096,51.0,Purlieus,control
7596,57.0,Purlieus,control
7072,50.0,Purlieus,control
6624,49.0,Purlieus,control
3692,22.0,Central,control
7275,51.0,Purlieus,control
4533,32.0,Purlieus,control
6647,32.0,Purlieus,control
8000,52.0,Purlieus,control
10974,45.0,Purlieus,control
1262,46.0,Purlieus,control
10295,74.0,Suburb,control
4734,40.0,Purlieus,control
7598,35.0,Purlieus,control
1545,33.0,Purlieus,control
3724,35.0,Purlieus,control
5089,37.0,Purlieus,control
5551,27.0,Central,control
4311,44.0,Purlieus,control
10829,41.0,Purlieus,control
8370,49.0,Purlieus,control
6598,45.0,Purlieus,control
6068,40.0,Purlieus,control
9346,44.0,Purlieus,control
3052,50.0,Purlieus,control
2365,41.0,Purlieus,control
9276,37.0,Purlieus,control
4861,46.0,Purlieus,control
7900,49.0,Purlieus,control
6365,34.0,Purlieus,control
9188,37.0,Purlieus,control
4595,51.0,Purlieus,control
10097,57.0,Purlieus,control
3495,31.0,Purlieus,control
3554,54.0,Purlieus,control
6737,43.0,Purlieus,control
8368,35.0,Purlieus,control
2311,33.0,Purlieus,control
2232,52.0,Purlieus,control
1501,41.0,Purlieus,control
6245,45.0,Purlieus,control
3775,33.0,Purlieus,control
8349,53.0,Purlieus,control
4301,62.0,Suburb,control
10027,42.0,Purlieus,control
7103,34.0,Purlieus,control
1087,49.0,Purlieus,control
2113,33.0,Purlieus,control
2857,38.0,Purlieus,control
10517,56.0,Purlieus,control
9467,47.0,Purlieus,control
10460,42.0,Purlieus,control
7108,56.0,Purlieus,control
7369,37.0,Purlieus,control
10270,51.0,Purlieus,control
8787,46.0,Purlieus,control
2117,41.0,Purlieus,control
7021,46.0,Purlieus,control
10519,43.0,Purlieus,control
8075,46.0,Purlieus,control
4412,43.0,Purlieus,control
6256,35.0,Purlieus,control
6938,55.0,Purlieus,control
3766,32.0,Purlieus,control
3241,41.0,Purlieus,control
2688,54.0,Purlieus,control
6657,41.0,Purlieus,control
6811,48.0,Purlieus,control
7901,38.0,Purlieus,control
5225,28.0,Central,control
2142,53.0,Purlieus,control
7300,47.0,Purlieus,control
3098,33.0,Purlieus,control
2485,57.0,Purlieus,control
2160,47.0,Purlieus,control
7056,49.0,Purlieus,control
6559,61.0,Suburb,control
8805,37.0,Purlieus,control
5492,41.0,Purlieus,control
9185,54.0,Purlieus,control
3922,41.0,Purlieus,control
8071,43.0,Purlieus,control
3969,44.0,Purlieus,control
9773,36.0,Purlieus,control
3171,73.0,Suburb,control
1322,62.0,Suburb,control
6496,40.0,Purlieus,control
1558,40.0,Purlieus,control
5948,61.0,Suburb,control
3671,46.0,Purlieus,control
7980,48.0,Purlieus,control
2945,41.0,Purlieus,control
10023,26.0,Central,control
3911,42.0,Purlieus,control
6842,23.0,Central,control
1455,62.0,Suburb,control
2172,62.0,Suburb,control
9251,43.0,Purlieus,control
4345,46.0,Purlieus,control
4901,39.0,Purlieus,control
9266,58.0,Purlieus,control
1614,51.0,Purlieus,control
1014,33.0,Purlieus,control
1657,38.0,Purlieus,control
10902,43.0,Purlieus,control
1482,62.0,Suburb,control
8851,53.0,Purlieus,control
7206,70.0,Suburb,control
10476,46.0,Purlieus,control
9113,23.0,Central,control
4692,35.0,Purlieus,control
6891,52.0,Purlieus,control
1006,29.0,Central,control
3665,37.0,Purlieus,control
8663,39.0,Purlieus,control
1827,26.0,Central,control
8681,52.0,Purlieus,control
4298,53.0,Purlieus,control
7548,40.0,Purlieus,control
10657,52.0,Purlieus,control
1841,42.0,Purlieus,control
1443,37.0,Purlieus,control
6345,36.0,Purlieus,control
2460,55.0,Purlieus,control
6422,30.0,Purlieus,control
3793,58.0,Purlieus,control
3450,45.0,Purlieus,control
7007,63.0,Suburb,control
2000,54.0,Purlieus,control
10018,37.0,Purlieus,control
3698,47.0,Purlieus,control
10761,47.0,Purlieus,control
7763,68.0,Suburb,control
3023,49.0,Purlieus,control
9267,49.0,Purlieus,control
1506,42.0,Purlieus,control
10216,51.0,Purlieus,control
10058,51.0,Purlieus,control
9416,42.0,Purlieus,control
9713,54.0,Purlieus,control
1767,38.0,Purlieus,control
1588,54.0,Purlieus,control
2068,43.0,Purlieus,control
4658,37.0,Purlieus,control
9451,35.0,Purlieus,control
2306,26.0,Central,control
4381,49.0,Purlieus,control
1535,43.0,Purlieus,control
8435,49.0,Purlieus,control
10341,54.0,Purlieus,control
3279,42.0,Purlieus,control
1812,37.0,Purlieus,control
3366,39.0,Purlieus,control
9067,26.0,Central,control
5237,47.0,Purlieus,control
8016,53.0,Purlieus,control
7465,43.0,Purlieus,control
9742,27.0,Central,control
3406,36.0,Purlieus,control
10001,47.0,Purlieus,control
8536,32.0,Purlieus,control
9479,40.0,Purlieus,control
5849,48.0,Purlieus,control
8057,60.0,Purlieus,control
2438,40.0,Purlieus,control
6281,35.0,Purlieus,control
5059,53.0,Purlieus,control
9376,39.0,Purlieus,control
11038,30.0,Purlieus,control
7961,52.0,Purlieus,control
5696,38.0,Purlieus,control
3321,23.0,Central,control
2701,52.0,Purlieus,control
7003,35.0,Purlieus,control
10069,45.0,Purlieus,control
3691,20.0,Central,control
6771,38.0,Purlieus,control
6411,56.0,Purlieus,control
9577,41.0,Purlieus,control
1434,41.0,Purlieus,control
10830,44.0,Purlieus,control
3444,41.0,Purlieus,control
4069,54.0,Purlieus,control
7091,52.0,Purlieus,control
6032,39.0,Purlieus,control
5646,52.0,Purlieus,control
1205,61.0,Suburb,control
9641,31.0,Purlieus,control
7703,55.0,Purlieus,control
8498,45.0,Purlieus,control
10587,41.0,Purlieus,control
9401,61.0,Suburb,control
1285,51.0,Purlieus,control
1790,54.0,Purlieus,control
10552,50.0,Purlieus,control
4951,45.0,Purlieus,control
3314,58.0,Purlieus,control
6468,45.0,Purlieus,control
1711,60.0,Purlieus,control
7018,69.0,Suburb,control
4712,56.0,Purlieus,control
1433,39.0,Purlieus,control
1979,37.0,Purlieus,control
9285,45.0,Purlieus,control
5973,49.0,Purlieus,control
3616,60.0,Purlieus,control
10537,56.0,Purlieus,control
10941,50.0,Purlieus,control
9656,64.0,Suburb,control
10563,55.0,Purlieus,control
1406,48.0,Purlieus,control
10400,49.0,Purlieus,control
5679,44.0,Purlieus,control
5248,60.0,Purlieus,control
5122,33.0,Purlieus,control
4226,47.0,Purlieus,control
5200,23.0,Central,control
2867,49.0,Purlieus,control
8712,46.0,Purlieus,control
9890,53.0,Purlieus,control
2883,38.0,Purlieus,control
6753,52.0,Purlieus,control
1800,48.0,Purlieus,control
1950,40.0,Purlieus,control
10707,77.0,Suburb,control
3555,37.0,Purlieus,control
8420,59.0,Purlieus,control
8152,58.0,Purlieus,control
10917,63.0,Suburb,control
7423,63.0,Suburb,control
5345,55.0,Purlieus,control
2263,39.0,Purlieus,control
9017,49.0,Purlieus,control
1118,56.0,Purlieus,control
6493,34.0,Purlieus,control
7515,39.0,Purlieus,control
2195,43.0,Purlieus,control
3845,53.0,Purlieus,control
2326,47.0,Purlieus,control
1829,62.0,Suburb,control
5639,32.0,Purlieus,control
7565,37.0,Purlieus,control
9954,50.0,Purlieus,control
9279,29.0,Central,control
1288,39.0,Purlieus,control
9999,40.0,Purlieus,control
11001,46.0,Purlieus,control
9478,30.0,Purlieus,control
6039,33.0,Purlieus,control
9770,44.0,Purlieus,control
10304,30.0,Purlieus,control
10756,57.0,Purlieus,control
8012,61.0,Suburb,control
5689,30.0,Purlieus,control
7825,71.0,Suburb,control
7123,50.0,Purlieus,control
11078,41.0,Purlieus,control
6313,46.0,Purlieus,control
2785,48.0,Purlieus,control
5299,33.0,Purlieus,control
8555,46.0,Purlieus,control
6602,37.0,Purlieus,control
2471,55.0,Purlieus,control
4784,51.0,Purlieus,control
10140,57.0,Purlieus,control
5515,40.0,Purlieus,control
10686,37.0,Purlieus,control
9411,32.0,Purlieus,control
7194,33.0,Purlieus,control
8500,39.0,Purlieus,control
10826,45.0,Purlieus,control
2621,37.0,Purlieus,control
11071,54.0,Purlieus,control
1625,52.0,Purlieus,control
2325,37.0,Purlieus,control
3481,46.0,Purlieus,control
4183,44.0,Purlieus,control
5355,21.0,Central,control
1574,39.0,Purlieus,control
3634,38.0,Purlieus,control
10808,70.0,Suburb,control
9908,59.0,Purlieus,control
3778,48.0,Purlieus,control
2329,48.0,Purlieus,control
3336,32.0,Purlieus,control
2530,32.0,Purlieus,control
8481,44.0,Purlieus,control
10923,64.0,Suburb,control
10388,44.0,Purlieus,control
4605,35.0,Purlieus,control
1349,32.0,Purlieus,control
3046,57.0,Purlieus,control
4880,53.0,Purlieus,control
2287,52.0,Purlieus,control
5481,55.0,Purlieus,control
2977,26.0,Central,control
6321,45.0,Purlieus,control
8824,51.0,Purlieus,control
2546,41.0,Purlieus,control
3351,51.0,Purlieus,control
2274,44.0,Purlieus,control
3083,55.0,Purlieus,control
1090,34.0,Purlieus,control
3862,52.0,Purlieus,control
2359,54.0,Purlieus,control
6795,18.0,Central,control
7714,23.0,Central,control
7895,30.0,Purlieus,control
5008,28.0,Central,control
6631,54.0,Purlieus,control
9417,54.0,Purlieus,control
4021,40.0,Purlieus,control
4728,29.0,Central,control
4613,44.0,Purlieus,control
6649,48.0,Purlieus,control
9147,35.0,Purlieus,control
1437,51.0,Purlieus,control
2682,33.0,Purlieus,control
6244,50.0,Purlieus,control
1885,52.0,Purlieus,control
10056,29.0,Central,control
8148,31.0,Purlieus,control
5247,31.0,Purlieus,control
2344,24.0,Central,control
10650,43.0,Purlieus,control
2728,45.0,Purlieus,control
3493,43.0,Purlieus,control
2281,51.0,Purlieus,control
9099,46.0,Purlieus,control
5691,45.0,Purlieus,control
1970,45.0,Purlieus,control
6166,33.0,Purlieus,control
2932,47.0,Purlieus,control
10706,51.0,Purlieus,control
10769,43.0,Purlieus,control
2474,43.0,Purlieus,control
8454,54.0,Purlieus,control
5024,32.0,Purlieus,control
1103,38.0,Purlieus,control
10238,49.0,Purlieus,control
2472,52.0,Purlieus,control
2904,52.0,Purlieus,control
4428,39.0,Purlieus,control
1968,35.0,Purlieus,control
8159,45.0,Purlieus,control
5201,45.0,Purlieus,control
8008,35.0,Purlieus,control
3795,45.0,Purlieus,control
10776,68.0,Suburb,control
1399,35.0,Purlieus,control
6586,41.0,Purlieus,control
9949,51.0,Purlieus,control
2827,36.0,Purlieus,control
2175,49.0,Purlieus,control
7082,31.0,Purlieus,control
3446,34.0,Purlieus,control
7857,45.0,Purlieus,control
5023,50.0,Purlieus,control
2141,37.0,Purlieus,control
3875,53.0,Purlieus,control
2305,53.0,Purlieus,control
2032,54.0,Purlieus,control
7768,58.0,Purlieus,control
6558,49.0,Purlieus,control
4818,35.0,Purlieus,control
3343,57.0,Purlieus,control
10500,48.0,Purlieus,control
6401,37.0,Purlieus,control
4813,36.0,Purlieus,control
9567,64.0,Suburb,control
6010,39.0,Purlieus,control
10383,59.0,Purlieus,control
8523,43.0,Purlieus,control
7921,57.0,Purlieus,control
6176,42.0,Purlieus,control
4223,41.0,Purlieus,control
1468,45.0,Purlieus,control
5172,52.0,Purlieus,control
5288,40.0,Purlieus,control
10895,39.0,Purlieus,control
3773,53.0,Purlieus,control
2035,53.0,Purlieus,control
7351,55.0,Purlieus,control
2352,46.0,Purlieus,control
1442,50.0,Purlieus,control
8501,42.0,Purlieus,control
5791,53.0,Purlieus,control
6157,24.0,Central,control
9794,48.0,Purlieus,control
6761,27.0,Central,control
8488,40.0,Purlieus,control
2745,47.0,Purlieus,control
10964,54.0,Purlieus,control
10875,53.0,Purlieus,control
6642,34.0,Purlieus,control
3317,64.0,Suburb,control
1000,42.0,Purlieus,control
7050,58.0,Purlieus,control
5259,38.0,Purlieus,control
3416,49.0,Purlieus,control
10738,24.0,Central,control
1951,57.0,Purlieus,control
6499,63.0,Suburb,control
10268,43.0,Purlieus,control
2580,56.0,Purlieus,control
6846,52.0,Purlieus,control
4502,35.0,Purlieus,control
6964,42.0,Purlieus,control
3888,70.0,Suburb,control
7526,49.0,Purlieus,control
7076,42.0,Purlieus,control
6868,53.0,Purlieus,control
10637,38.0,Purlieus,control
1156,34.0,Purlieus,control
1327,50.0,Purlieus,control
5490,38.0,Purlieus,control
3791,27.0,Central,control
4424,70.0,Suburb,control
3856,32.0,Purlieus,control
4182,47.0,Purlieus,control
5549,58.0,Purlieus,control
9442,41.0,Purlieus,control
3876,34.0,Purlieus,control
9863,57.0,Purlieus,control
8522,34.0,Purlieus,control
7739,53.0,Purlieus,control
1845,53.0,Purlieus,control
11052,44.0,Purlieus,control
1045,37.0,Purlieus,control
1755,25.0,Central,control
10838,47.0,Purlieus,control
9325,46.0,Purlieus,control
4293,46.0,Purlieus,control
10170,55.0,Purlieus,control
5472,52.0,Purlieus,control
10903,52.0,Purlieus,control
9483,44.0,Purlieus,control
3970,46.0,Purlieus,control
8154,39.0,Purlieus,control
4436,48.0,Purlieus,control
2163,49.0,Purlieus,control
3445,54.0,Purlieus,control
5745,40.0,Purlieus,control
4898,46.0,Purlieus,control
9177,60.0,Purlieus,control
5420,68.0,Suburb,control
4072,39.0,Purlieus,control
7735,60.0,Purlieus,control
4931,28.0,Central,control
3959,31.0,Purlieus,control
2969,53.0,Purlieus,control
1220,30.0,Purlieus,control
8702,46.0,Purlieus,control
8448,30.0,Purlieus,control
4541,53.0,Purlieus,control
1519,31.0,Purlieus,control
9125,40.0,Purlieus,control
1798,50.0,Purlieus,control
6691,54.0,Purlieus,control
5083,42.0,Purlieus,control
6181,40.0,Purlieus,control
2286,50.0,Purlieus,control
6025,50.0,Purlieus,control
9829,50.0,Purlieus,control
10995,40.0,Purlieus,control
3788,40.0,Purlieus,control
5348,37.0,Purlieus,control
4046,28.0,Central,control
4018,48.0,Purlieus,control
5589,41.0,Purlieus,control
2401,42.0,Purlieus,control
7664,36.0,Purlieus,control
7926,44.0,Purlieus,control
2081,35.0,Purlieus,control
5784,45.0,Purlieus,control
4355,19.0,Central,control
10104,46.0,Purlieus,control
4347,60.0,Purlieus,control
9653,44.0,Purlieus,control
2014,44.0,Purlieus,control
11021,39.0,Purlieus,control
6521,27.0,Central,control
7790,42.0,Purlieus,control
6332,61.0,Suburb,control
2251,40.0,Purlieus,control
1476,45.0,Purlieus,control
1703,51.0,Purlieus,control
6346,43.0,Purlieus,control
2862,50.0,Purlieus,control
1844,43.0,Purlieus,control
8977,50.0,Purlieus,control
9861,34.0,Purlieus,control
6140,50.0,Purlieus,control
5116,39.0,Purlieus,control
1084,41.0,Purlieus,control
7314,50.0,Purlieus,control
1395,44.0,Purlieus,control
2631,47.0,Purlieus,control
6629,49.0,Purlieus,control
9231,47.0,Purlieus,control
1170,41.0,Purlieus,control
2868,64.0,Suburb,control
10408,47.0,Purlieus,control
5842,55.0,Purlieus,control
5563,43.0,Purlieus,control
1375,54.0,Purlieus,control
7118,37.0,Purlieus,control
7546,26.0,Central,control
9075,34.0,Purlieus,control
10358,32.0,Purlieus,control
8651,40.0,Purlieus,control
8856,57.0,Purlieus,control
9589,31.0,Purlieus,control
11042,44.0,Purlieus,control
10892,42.0,Purlieus,control
7376,39.0,Purlieus,control
8606,41.0,Purlieus,control
7665,27.0,Central,control
5967,50.0,Purlieus,control
9809,47.0,Purlieus,control
2967,57.0,Purlieus,control
1678,60.0,Purlieus,control
8066,28.0,Central,control
7309,30.0,Purlieus,control
3205,58.0,Purlieus,control
9614,33.0,Purlieus,control
9057,34.0,Purlieus,control
1959,42.0,Purlieus,control
5880,47.0,Purlieus,control
3025,31.0,Purlieus,control
11025,47.0,Purlieus,control
6090,59.0,Purlieus,control
2547,33.0,Purlieus,control
7189,35.0,Purlieus,control
9839,56.0,Purlieus,control
4663,15.0,Central,control
3298,37.0,Purlieus,control
1366,34.0,Purlieus,control
2835,27.0,Central,control
8004,49.0,Purlieus,control
4031,50.0,Purlieus,control
1610,49.0,Purlieus,control
3087,44.0,Purlieus,control
10395,46.0,Purlieus,control
9681,43.0,Purlieus,control
7262,72.0,Suburb,control
4358,35.0,Purlieus,control
2775,28.0,Central,control
7909,28.0,Central,control
6785,50.0,Purlieus,control
10754,55.0,Purlieus,control
7016,32.0,Purlieus,control
6357,39.0,Purlieus,control
6425,32.0,Purlieus,control
8941,39.0,Purlieus,control
5070,17.0,Central,control
10827,40.0,Purlieus,control
8855,17.0,Central,control
4746,35.0,Purlieus,control
2618,60.0,Purlieus,control
8389,44.0,Purlieus,control
5685,44.0,Purlieus,control
8822,49.0,Purlieus,control
3129,51.0,Purlieus,control
8813,46.0,Purlieus,control
7939,31.0,Purlieus,control
2658,45.0,Purlieus,control
8876,56.0,Purlieus,control
2551,34.0,Purlieus,control
9583,27.0,Central,control
6903,26.0,Central,control
3684,41.0,Purlieus,control
4583,41.0,Purlieus,control
10763,52.0,Purlieus,control
9502,69.0,Suburb,control
9821,42.0,Purlieus,control
7670,51.0,Purlieus,control
5766,62.0,Suburb,control
3235,49.0,Purlieus,control
1650,57.0,Purlieus,control
4584,44.0,Purlieus,control
6224,38.0,Purlieus,control
9687,48.0,Purlieus,control
6367,59.0,Purlieus,control
8954,45.0,Purlieus,control
6756,45.0,Purlieus,control
6069,55.0,Purlieus,control
1638,34.0,Purlieus,control
9036,71.0,Suburb,control
5816,42.0,Purlieus,control
9730,55.0,Purlieus,control
2843,60.0,Purlieus,control
7765,54.0,Purlieus,control
2756,46.0,Purlieus,control
8267,64.0,Suburb,control
9461,54.0,Purlieus,control
2791,54.0,Purlieus,control
8032,55.0,Purlieus,control
3356,21.0,Central,control
9120,39.0,Purlieus,control
3508,68.0,Suburb,control
3077,40.0,Purlieus,control
2481,50.0,Purlieus,control
6011,57.0,Purlieus,control
8321,39.0,Purlieus,control
6512,31.0,Purlieus,control
7493,48.0,Purlieus,control
9199,53.0,Purlieus,control
3746,64.0,Suburb,control
11058,37.0,Purlieus,control
3573,68.0,Suburb,control
10554,44.0,Purlieus,control
8640,32.0,Purlieus,control
9683,44.0,Purlieus,control
3058,34.0,Purlieus,control
2622,44.0,Purlieus,control
4148,34.0,Purlieus,control
7480,29.0,Central,control
2127,56.0,Purlieus,control
10020,49.0,Purlieus,control
5111,38.0,Purlieus,control
7466,48.0,Purlieus,control
9407,54.0,Purlieus,control
1067,25.0,Central,control
9217,51.0,Purlieus,control
6498,48.0,Purlieus,control
6423,31.0,Purlieus,control
5564,23.0,Central,control
2961,37.0,Purlieus,control
9029,55.0,Purlieus,control
9493,33.0,Purlieus,control
6522,51.0,Purlieus,control
3849,49.0,Purlieus,control
5898,38.0,Purlieus,control
7188,55.0,Purlieus,control
2304,41.0,Purlieus,control
1665,46.0,Purlieus,control
7956,41.0,Purlieus,control
8010,16.0,Central,control
1013,37.0,Purlieus,control
6012,42.0,Purlieus,control
5220,48.0,Purlieus,control
8952,50.0,Purlieus,control
6924,52.0,Purlieus,control
1668,63.0,Suburb,control
10439,46.0,Purlieus,control
8763,32.0,Purlieus,control
4076,46.0,Purlieus,control
7427,33.0,Purlieus,control
6871,60.0,Purlieus,control
4499,38.0,Purlieus,control
10847,48.0,Purlieus,control
