client_id,company_id,delay,revenue
8417,5002,-1 days -15:15:47.000000000,793331
8672,9594,-0 days -06:13:50.000000000,35630
1572,1576,-4 days -19:37:15.000000000,95856
1294,3062,-4 days -05:58:44.000000000,534743
3083,5734,-4 days -08:50:18.000000000,657397
1555,1077,-2 days -15:30:25.000000000,616543
4564,1559,-2 days -13:57:55.000000000,730080
2617,5464,-2 days -21:16:54.000000000,648552
8264,9322,-2 days -06:11:09.000000000,194938
3243,7172,-4 days -09:37:06.000000000,342304
5061,3200,-4 days -23:39:49.000000000,824460
4293,3156,-3 days -13:57:07.000000000,690125
2851,2271,-2 days -07:24:01.000000000,446358
7518,6295,-2 days -12:51:47.000000000,146431
8777,7549,-4 days -23:29:54.000000000,204832
7625,6002,-3 days -07:00:45.000000000,19914
9431,8751,-3 days -00:27:27.000000000,457079
1086,9557,-3 days -15:43:46.000000000,438115
3800,2366,-1 days -16:13:36.000000000,101069
3104,8302,-4 days -00:45:09.000000000,180366
8393,6629,-4 days -07:26:35.000000000,46273
2233,9912,-3 days -13:04:54.000000000,959285
2802,2185,-1 days -00:28:19.000000000,183817
2309,8593,-4 days -16:26:40.000000000,892711
2854,5455,-4 days -07:37:41.000000000,678996
7995,4252,-4 days -05:30:36.000000000,16605
5196,9208,-1 days -19:05:59.000000000,96874
6468,7178,-3 days -08:32:53.000000000,17926
8238,7507,-4 days -09:00:12.000000000,750001
3893,4696,-3 days -09:16:22.000000000,408249
1327,9456,-2 days -22:41:09.000000000,40321
5995,3728,-0 days -15:11:56.000000000,468652
2057,2905,-3 days -02:54:02.000000000,404158
7933,3513,-0 days -17:46:59.000000000,88452
2173,4576,-1 days -23:57:35.000000000,948593
6353,7037,-3 days -14:56:31.000000000,865751
6445,4205,-2 days -16:19:28.000000000,449341
5883,1168,-4 days -07:35:56.000000000,382141
5577,7636,-3 days -15:00:21.000000000,195565
7924,6486,-0 days -03:16:23.000000000,785967
6909,5023,-0 days -02:57:00.000000000,845869
5600,6221,-3 days -04:38:22.000000000,125487
8019,1300,-2 days -21:00:38.000000000,493813
3390,8969,-2 days -13:47:38.000000000,576621
4301,9816,-0 days -13:45:33.000000000,73643
5825,3650,-0 days -07:06:33.000000000,434869
8454,2058,-0 days -11:58:32.000000000,115442
6076,4117,-2 days -12:33:14.000000000,585229
7787,6762,-3 days -00:06:40.000000000,774997
5888,8812,-4 days -18:36:29.000000000,944256
3874,8946,-0 days -20:01:59.000000000,662136
7694,3617,-1 days -19:00:12.000000000,406890
4474,9779,-3 days -15:04:17.000000000,388484
5706,9789,-1 days -21:15:28.000000000,981450
8421,3396,-4 days -20:05:01.000000000,441602
5724,2492,-0 days -10:28:11.000000000,377380
9961,3617,-3 days -02:57:37.000000000,964680
4318,4461,-2 days -05:13:14.000000000,603031
9092,4065,-0 days -19:05:58.000000000,117130
2742,4025,-3 days -03:16:10.000000000,783280
4266,2221,-1 days -08:55:14.000000000,567057
7975,1418,-1 days -04:53:10.000000000,447907
2562,1711,-0 days -07:15:12.000000000,876489
3651,6895,-2 days -22:46:05.000000000,902826
5319,1954,-3 days -04:31:48.000000000,940045
3520,5576,-3 days -23:47:57.000000000,809519
2581,4459,-0 days -18:15:30.000000000,246551
4116,8920,-0 days -03:08:45.000000000,158313
5310,3592,-3 days -20:08:41.000000000,529567
1151,6313,-0 days -12:54:29.000000000,416000
3107,4820,-0 days -00:37:51.000000000,149531
4989,2419,-4 days -19:30:02.000000000,995535
5480,1999,-4 days -21:35:46.000000000,93214
9178,3289,-2 days -00:34:46.000000000,473659
3894,5050,-0 days -20:18:49.000000000,328740
2903,7811,-1 days -22:50:45.000000000,152830
1922,3131,-1 days -01:01:19.000000000,344760
6636,7601,-0 days -12:13:22.000000000,763531
3077,3134,-4 days -11:24:40.000000000,61128
1301,3741,-1 days -12:25:54.000000000,127335
9851,5144,-4 days -17:56:06.000000000,229736
2653,3998,-1 days -02:18:36.000000000,321394
6439,2559,-4 days -20:01:11.000000000,524006
8230,5955,-0 days -12:51:31.000000000,903630
6702,1164,-1 days -08:59:37.000000000,90530
7715,9879,-0 days -03:13:39.000000000,573885
2900,1588,-3 days -07:25:10.000000000,368378
6247,6284,-1 days -08:56:02.000000000,943556
8826,2744,-2 days -18:03:44.000000000,615253
8363,2110,-1 days -20:13:27.000000000,996497
3653,8681,-4 days -03:11:46.000000000,552270
7656,7032,-2 days -01:08:04.000000000,59846
1867,1682,-1 days -02:46:24.000000000,855355
4415,3035,-2 days -03:20:18.000000000,837551
5249,5326,-3 days -00:18:58.000000000,31855
7387,9436,-3 days -23:13:13.000000000,704041
1889,4568,-1 days -07:11:23.000000000,320241
5551,7841,-0 days -15:13:05.000000000,77700
7118,3407,-0 days -05:22:46.000000000,671591
1327,9597,-3 days -05:42:18.000000000,880146
8097,6001,-3 days -15:34:48.000000000,352419
5767,3206,-1 days -04:03:48.000000000,209048
3118,6404,-3 days -04:47:42.000000000,978835
5000,8417,-3 days -23:21:37.000000000,721191
4439,5246,-2 days -16:48:22.000000000,239247
3151,2594,-4 days -07:51:51.000000000,424023
1902,4292,-4 days -18:43:48.000000000,233670
3180,1975,-2 days -11:34:38.000000000,138820
4694,1347,-2 days -21:53:24.000000000,276687
9070,4940,-3 days -02:22:57.000000000,702849
5650,7303,-0 days -17:25:27.000000000,491253
7851,5224,-1 days -07:24:53.000000000,940164
2647,6523,-0 days -14:02:02.000000000,205889
7098,5525,-0 days -03:16:04.000000000,403722
5491,2362,-2 days -07:16:19.000000000,216915
7318,2992,-0 days -10:14:33.000000000,228576
4329,3171,-4 days -00:19:00.000000000,688040
3106,3550,-0 days -17:06:58.000000000,790139
4865,8035,-0 days -03:28:46.000000000,603098
8952,8022,-0 days -12:29:05.000000000,262779
6186,6265,-2 days -07:56:10.000000000,427281
5837,2617,-0 days -05:32:08.000000000,602129
2384,2364,-3 days -23:27:14.000000000,910660
5146,3331,-1 days -15:22:34.000000000,401137
7203,5532,-2 days -17:15:02.000000000,308979
3822,9882,-1 days -15:50:29.000000000,877773
