season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
4,6,The Laws of Gods and Men,11 May 2014,9.7,49940,Tyrion's trial has come. Yara and her troops storm the Dreadfort to free Theon. Daenerys meets Hizdar zo Loraq. Stannis makes a deal with the Iron Bank of Braavos.
4,7,Mockingbird,18 May 2014,9.0,30150,Tyrion tries to find a champion. Daenerys sleeps with Daario. The Hound becomes wounded. Jon's advice is ignored at Castle Black. Brienne and Podrick receive a tip on Arya's whereabouts.
4,8,The Mountain and the Viper,1 Jun. 2014,9.7,52676,"Theon helps Ramsay seize Moat Cailin. The wildlings attack Mole's Town. Sansa comes up with a story to protect Lord Baelish. Daenerys finds out a secret about Jorah Mormont. Oberyn Martell faces Gregor Clegane, the Mountain."
4,9,The Watchers on the Wall,8 Jun. 2014,9.6,45281,The battle between the Night's Watch and the wildlings has come.
4,10,The Children,15 Jun. 2014,9.6,44717,"Jon makes an important decision. Daenerys experiences new consequences. Brienne and Podrick have an unexpected encounter. Bran achieves a goal, while Tyrion makes an important discovery."
5,1,The Wars to Come,12 Apr. 2015,8.4,29854,"Cersei and Jaime adjust to a world without Tywin. Tyrion and Varys arrive at Pentos. In Meereen, a new enemy emerges. Jon is caught between two kings."
5,2,The House of Black and White,19 Apr. 2015,8.4,26750,Arya arrives in Braavos. Jaime takes on a secret mission. Ellaria Sand seeks revenge for Oberyn's death. Stannis makes Jon a generous offer as the Night's Watch elects a new Lord Commander. Daenerys is faced with a difficult decision.
5,3,High Sparrow,26 Apr. 2015,8.4,25968,Tommen and Margaery wed. Arya has trouble adapting to her new life. Littlefinger reveals his plans to Sansa. Jon gives his first orders as Lord Commander. Tyrion and Varys arrive in Volantis.
5,4,Sons of the Harpy,3 May 2015,8.6,26628,"Jorah Mormont sets sail alongside his prisoner, Tyrion. Cersei makes a move against the Tyrells. Jaime and Bronn sneak into Dorne. Ellaria and the Sand Snakes make their plans. Melisandre tempts Jon. The Harpies attack."
5,5,Kill the Boy,10 May 2015,8.5,26854,Daenerys arrests the heads of Meereen's great families. Jon makes a difficult decision. Theon is forced to face Sansa. Stannis rides south. Tyrion and Jorah enter the ruins of Old Valyria.
5,6,"Unbowed, Unbent, Unbroken",17 May 2015,7.9,30058,Arya is put to the test. Tyrion and Jorah are captured by slavers. Loras Tyrell is judged by the Sparrows. Jaime and Bronn face the Sand Snakes. Sansa marries Ramsay Bolton.
5,7,The Gift,24 May 2015,8.9,29119,Jon heads east as trouble begins to stir for Sam and Gilly at Castle Black. Sansa asks Theon for help. Tyrion and Jorah are sold as slaves. Cersei savors her triumph over the Tyrells as new plots are developed in the shadows.
5,8,Hardhome,31 May 2015,9.8,98671,Tyrion advises Daenerys. Sansa forces Theon to tell her a secret. Cersei remains stubborn. Arya meets her first target. Jon and Tormund meet with the wildling elders.
5,9,The Dance of Dragons,7 Jun. 2015,9.4,42992,Jon and the wildlings return to Castle Black. Jaime meets with Doran Martell. Stannis makes a hard choice. Arya runs into Meryn Trant. Daenerys attends the grand reopening of the fighting pits.
5,10,Mother's Mercy,14 Jun. 2015,9.1,41711,Stannis arrives at Winterfell. Tyrion runs Meereen as Daario and Jorah go after Daenerys. Jaime and Myrcella leave Dorne. Jon sends Sam and Gilly to Oldtown. Arya challenges the Many-Faced God. Cersei confesses her sins.
6,1,The Red Woman,24 Apr. 2016,8.4,39370,The fate of Jon Snow is revealed. Daenerys is brought before Khal Moro. Tyrion gets used to living in Meereen. Ramsay sends his dogs after Theon and Sansa. Ellaria and the Sand Snakes make their move. Cersei mourns for Myrcella.
6,2,Home,1 May 2016,9.3,46102,Bran trains with the Three-Eyed Raven. Tommen meets with Cersei. Tyrion makes a bold move. Theon leaves while at Pyke new issues arise. Ramsay's brother is born. Davos asks Melisandre for a miracle.
6,3,Oathbreaker,8 May 2016,8.6,33550,"Daenerys arrives at Vaes Dothrak. Sam and Gilly sail for Horn Hill. Arya trains as No One. Varys finds information on the Sons of the Harpy. Ramsay receives a gift. Tommen meets with the High Sparrow. At Castle Black, a miracle occurs."
6,4,Book of the Stranger,15 May 2016,9.0,36040,Sansa arrives at Castle Black. Tyrion makes a deal with the slave masters. Jorah and Daario sneak into Vaes Dothrak. Ramsay sends a letter to Jon. Theon arrives at Pyke. Cersei and Olenna Tyrell plot against the High Sparrow.
6,5,The Door,22 May 2016,9.7,69767,Sansa and Jon make plans. Arya is given another chance to prove herself. Jorah confesses a secret to Daenerys. Tyrion meets with a red priestess. Yara finds her rule tested. Bran discovers the origin of the White Walkers.
6,6,Blood of My Blood,29 May 2016,8.3,33266,Bran and Meera find a new ally. Gilly meets Sam's family. Arya makes a difficult choice. The Lannisters and Tyrells march against the High Sparrow.
6,7,The Broken Man,5 Jun. 2016,8.5,32421,Jon and Sansa gather troops. Jaime arrives at Riverrun. Olenna Tyrell plans to leave King's Landing. Theon and Yara plan a destination. Arya makes plans to leave.
6,8,No One,12 Jun. 2016,8.3,36576,Brienne arrives at Riverrun. Arya seeks shelter. Jaime meets with Edmure Tully. Cersei challenges the Faith. Sandor Clegane hunts for revenge. Tyrion faces the consequences of earlier decisions.
6,9,Battle of the Bastards,19 Jun. 2016,9.9,203879,Jon and Sansa face Ramsay Bolton on the fields of Winterfell. Daenerys strikes back at her enemies. Theon and Yara arrive in Meereen.
6,10,The Winds of Winter,26 Jun. 2016,9.9,143780,Cersei and Loras Tyrell stand trial by the gods. Daenerys prepares to set sail for Westeros. Davos confronts Melisandre. Sam and Gilly arrive in the Citadel. Bran discovers a long-kept secret. Lord Frey has an uninvited guest.
7,1,Dragonstone,16 Jul. 2017,8.5,50157,"Jon organizes the North's defenses. Cersei tries to even the odds. Daenerys comes home. Arya reminds the Freys ""the North remembers."" Sam adapts to life in Oldtown. The Night King makes his way south."
7,2,Stormborn,23 Jul. 2017,8.8,43672,Daenerys receives an unexpected visitor. Jon faces resistance. Tyrion plans the conquest of Westeros. Cersei gathers her allies. Arya has a reunion with old friends. Sam risks his career and life.
7,3,The Queen's Justice,30 Jul. 2017,9.1,45708,Jon and Daenerys finally meet. Cersei gains a new ally. Sansa receives an unexpected visitor. Sam is confronted for his actions.
7,4,The Spoils of War,6 Aug. 2017,9.7,86600,Daenerys takes matters into her own hands. Arya reaches her destination. Jaime and Bronn collect the spoils from the war with the Tyrells.
7,5,Eastwatch,13 Aug. 2017,8.7,43408,Daenerys demands loyalty from the surviving Lannister soldiers; Jon heeds Bran's warning about White Walkers on the move; Cersei vows to vanquish anyone or anything that stands in her way.
7,6,Beyond the Wall,20 Aug. 2017,9.0,63062,Jon and his team go beyond the wall to capture a wight. Daenerys has to make a tough decision.
7,7,The Dragon and the Wolf,27 Aug. 2017,9.4,62910,"Everyone meets in King's Landing to discuss the fate of the realm. In Winterfell, Sansa confronts Arya. Sam reaches Winterfell, where he and Bran discover a shocking secret about Jon Snow."
8,1,Winterfell,14 Apr. 2019,7.6,130346,Jon and Daenerys arrive in Winterfell and are met with skepticism. Sam learns about the fate of his family. Cersei gives Euron the reward he aims for. Theon follows his heart.
8,2,A Knight of the Seven Kingdoms,21 Apr. 2019,7.9,128712,Jaime faces judgment and Winterfell prepares for the battle to come.
8,3,The Long Night,28 Apr. 2019,7.5,212837,The Night King and his army have arrived at Winterfell and the great battle begins.
8,4,The Last of the Starks,5 May 2019,5.5,162708,The Battle of Winterfell is over and a new chapter for Westeros begins.
8,5,The Bells,12 May 2019,6.0,189615,Forces have arrived at King's Landing for the final battle.
8,6,The Iron Throne,19 May 2019,4.1,242548,"In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors."
